index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S25_D35 hbo]:Condition[V],-1.7659521919442149e-07,1.0000709569256519e-07,-1.765826894296562,0.07742489501659638,-3.726055249503001e-07,1.94150865614571e-08,S25_D35 hbo,V,False,0.21585122247051114,False
ch_name[S26_D12 hbo]:Condition[V],7.248393138233151e-08,1.688510466656865e-08,4.292773590313878,1.7645491635809667e-05,3.938973436066775e-08,1.0557812840399527e-07,S26_D12 hbo,V,True,0.0006493540921977957,True
ch_name[S26_D13 hbo]:Condition[V],5.9581998846117917e-08,1.688510466656865e-08,3.5286721653604074,0.0004176501762196984,2.6487801824454157e-08,9.267619586778168e-08,S26_D13 hbo,V,True,0.005692417216624036,True
ch_name[S2_D1 hbo]:Condition[V],-1.4177302849706506e-08,1.6885104666568652e-08,-0.8396336966614482,0.4011137998647004,-4.727149987137027e-08,1.891689417195726e-08,S2_D1 hbo,V,False,0.6000401558951616,False
ch_name[S2_D2 hbo]:Condition[V],5.297374320800127e-09,1.688510466656865e-08,0.3137306179267319,0.7537256442473799,-2.779682270086363e-08,3.839157134246389e-08,S2_D2 hbo,V,False,0.8534493448708794,False
ch_name[S2_D28 hbo]:Condition[V],-2.812774681816423e-08,1.0000709569256518e-07,-0.2812575110133443,0.7785128966990383,-2.2413805257404277e-07,1.6788255893771434e-07,S2_D28 hbo,V,False,0.8577627125306769,False
ch_name[S2_D3 hbo]:Condition[V],1.5468273477696973e-08,1.688510466656865e-08,0.9160898782181135,0.3596197561688895,-1.7625923543966786e-08,4.8562470499360736e-08,S2_D3 hbo,V,False,0.5660148767604576,False
ch_name[S3_D2 hbo]:Condition[V],2.065934559707532e-08,1.6885104666568652e-08,1.2235248762170485,0.2211315143323178,-1.2434851424588447e-08,5.3753542618739084e-08,S3_D2 hbo,V,False,0.4130781587527561,False
ch_name[S3_D3 hbo]:Condition[V],4.086128147577224e-08,1.6885104666568652e-08,2.41996021242763,0.015522205373342408,7.767084454108471e-09,7.3955478497436e-08,S3_D3 hbo,V,True,0.07634564833145668,False
ch_name[S3_D4 hbo]:Condition[V],8.155359040040885e-09,1.688510466656865e-08,0.4829913228899278,0.6291018973178626,-2.4938837981622876e-08,4.124955606170464e-08,S3_D4 hbo,V,False,0.7736987800673825,False
ch_name[S3_D6 hbo]:Condition[V],2.8841755595969314e-08,1.6885104666568656e-08,1.7081182595849704,0.08761440146112072,-4.252441425694459e-09,6.193595261763308e-08,S3_D6 hbo,V,False,0.23707426277715019,False
ch_name[S4_D1 hbo]:Condition[V],-6.028526165518995e-09,1.688510466656865e-08,-0.35703220587403667,0.7210676957213089,-3.9122723187182754e-08,2.7065670856144765e-08,S4_D1 hbo,V,False,0.8400266408273281,False
